PERMIT_NUM,STRUCTURE_TYPE,ADDRESS,City,Country,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,RESIDENTIAL
14 160629 BLD,Townhouses,"261 MORRISH RD   Toronto, Ontario, Canada",Toronto,Canada,2014-05-23,2014-07-29,2015-05-01,Closed,"Build new 2 storey town house on existing foundation. Existing townhouse was applied for under fire damage permit.
",Townhouse,Townhouse,1,0,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,169.99
07 243049 BLD,Townhouses,"210 FINCH AVE W Toronto, Ontario, Canada",Toronto,Canada,2007-07-13,2007-09-25,2014-07-14,Closed,Three storey 8 unit free hold townhouse.,Vacant,8 Unit Townhouse,1,0,"1,600,00",0,190
07 243052 BLD,Townhouses,"210 FINCH AVE W Toronto, Ontario, Canada",Toronto,Canada,2007-07-13,2007-09-25,2014-07-14,Closed,Three storey 8 unit free hold townhouse.,Vacant,8 Unit Townhouse,1,0,"1,600,00",0,190
07 243057 BLD,Townhouses,"210 FINCH AVE W Toronto, Ontario, Canada",Toronto,Canada,2007-07-13,2007-09-25,2014-07-14,Closed,Two storey 8 unit free hold townhouse.,Vacant,8 Unit Townhouse,1,0,"1,600,00",0,190
10 136882 BLD,Apartment Building,"50 ST JOSEPH ST   Toronto, Ontario, Canada",Toronto,Canada,2010-03-23,2010-12-17,2018-10-30,Closed,"Proposal to construct 2 condo towers (45 sty and 55 sty) on a 3 sty townhouse podium, 5 levels of below grade parking, and 985 residential units.  See folder for Heritage approval for a adjacent building, Final & Binding, and Site Plan approval.  Also see folder for list of new addresses.",Vacant,Condo With Townhouses,985,0,"200,000,000",0,94072
10 259977 BLD,Apartment Building,"386 YONGE ST   Toronto, Ontario, Canada",Toronto,Canada,2010-09-17,2011-12-23,2016-05-24,Closed,"PHASE 2 - LOWER TOWER (AURA AT COLLEGE PARK) - Proposal to construct floors 5-54 for new condo over podium 777 Dwelling unts and 3 Guest Suites (SEE BLD 08 196702).  Note - see active BLD permit 08 117483, FSU 10 165868, PODIUM 08 196702, and PHASE 3 (UPPER TOWER).  386 YONGE ST.",Vacant (See Actiev Bld Permits),Condo (Also See Phase 1 & 3),780,0,"150,000,000",0,68470
10 260004 BLD,Apartment Building,"388 YONGE ST   Toronto, Ontario, Canada",Toronto,Canada,2010-09-17,2011-12-23,2016-05-24,Closed,"PHASE 3 - UPPER TOWER (AURA AT COLLEGE PARK) - Proposal to construct floors 55-75 for new condo over podium 157 Dwelling units (SEE BLD 08 196702).  Note - see active BLD permit 08 117483, FSU 10 165868, PODIUM 08 196702), and PHASE 2 (LOWER TOWER).",Vacant (See Actiev Bld Permits),Condo (Also See Phase 1 & 2),157,0,"150,000,000",0,23037
12 129679 BLD,Apartment Building,"36 PARK LAWN RD   Toronto, Ontario, Canada",Toronto,Canada,2012-02-29,2015-11-02,2016-11-16,Closed,Construction of 44 storey apartment building with 421 residential dwelling units plus 1 guest suite total 422 units.,Vacant Industrial Print Shop,Residential Condo,422,0,"88,650,000",1666,37366
12 260361 BLD,Apartment Building,"88 SHEPPARD AVE E Toronto, Ontario, Canada",Toronto,Canada,2012-10-10,2014-05-21,2016-08-22,Closed,"34 storey residential apartment building with green roofs above the two and four storey residential portions, 359 dwelling units, linked (mechanically and electrically) with 2 blocks of three storey residential townhouses containing a total of 16 dwelling units all above three levels of underground parking",Surface Parking Lot/Existing Commercial Bldg,"Apartment Bldg & Townhouses, Existing Commercial Bldg",359,0,"75,000,000",736.51,29898.07
10 141286 BLD,Apartment Building,"50 TOWN CENTRE CRT   Toronto, Ontario, Canada",Toronto,Canada,2010-03-29,2012-03-21,2015-05-12,Closed,To construct a new 39 storey residential condominium tower with 403 units and 340 parking spaces,Vacant Land,Rersidential Condo,405,0,"65,000,000",0,31466.96
11 289993 BLD,Apartment Building,"3180 BATHURST ST   Toronto, Ontario, Canada",Toronto,Canada,2011-10-11,2013-05-28,2014-11-25,Closed,"May 28/13 picked up by Adnan Ashhmi (mg)
 DO NOT ISSUE THIS PERMIT UNTIL SECTION 37 MATTERS HAVE BEEN CLARIFIED/DIANE DAMIANO. DD APRIL 12/13. Clear permit with Ted before issuing permit April 19, 2013.
13 storey apartment building with 343 suites with three levels of underground parking linked together at parking level one to existing church ",Vacant,Apartment Building,343,0,"57,500,000",0,28325.96
10 140287 BLD,Apartment Building,"38 GRAND MAGAZINE ST   Toronto, Ontario, Canada",Toronto,Canada,2010-03-26,2015-03-06,2015-07-26,Closed,"Proposal to construct 2 condo towers (17sty and 15 sty), 2 sty link podium, 3 levels of below grade parking, and 502 dwelling units.  See Site Plan 10 139880.  NOTE: New address - 38 Grand Magazine St.",Vacant,Condo,506,0,"54,400,000",0,38857
11 329200 BLD,Apartment Building,"18 GRAYDON HALL DR   Toronto, Ontario, Canada",Toronto,Canada,2011-12-21,2014-07-02,2018-07-20,Closed,Devonshire Properties Inc 25 storey above established grade condominium with 4 levels of below grade parking.,Vacant,Condominium,312,0,"54,400,000",464.06,24615.24
11 330573 BLD,Apartment Building,"43502 EVA RD   Toronto, Ontario, Canada",Toronto,Canada,2011-12-23,2013-03-11,2014-09-04,Closed,"proposed 30 storey, 280 suites and four levels of underground parking in Building B. (PHASE 1)",Vacant,Condom Residential,280,0,"50,000,000",550,22280.5
03 164601 BLD,Apartment Building,"45 BAY ST   Toronto, Ontario, Canada",Toronto,Canada,2003-08-08,2005-08-09,2015-12-03,Closed,Construct new 39 storey condominium building (493 units) with commercial space on ground floor; 4 levels of above grade parking & 2 levels of below grade parking; includes mechanical penthouse.  See C of A Decision file #A0185/02TEY.  Site Plan application #SPA 301053.   refer to excavation & shoring*,,,,,"50,000,000",0,0
10 200663 BLD,Apartment Building,"0 OLD MILL RD   Toronto, Ontario, Canada",Toronto,Canada,2010-06-18,2013-07-31,2015-05-28,Closed,"Proposal to construct a new (11) storey + (1) floor of mechanical, (101) unit apartment building with (5) levels of underground parking on existing parking lot site.  ",Vacant,Apartment Building,101,0,"50,000,000",0,16897.27
10 132321 BLD,Apartment Building,"43667 RICHGROVE DR   Toronto, Ontario, Canada",Toronto,Canada,2010-03-15,2011-03-01,2017-07-14,Closed,"To construct a new 21 storey, 237 unit apartment building with ancillary parking and amenity area.",Apartment Building,Apartment Building,237,0,"50,000,000",0,17339.8
14 172874 BLD,Apartment Building,"571 DUNDAS ST W Toronto, Ontario, Canada",Toronto,Canada,2014-06-12,2017-03-31,2017-09-26,Closed,Proposal to construct a 14 sty condo with 241 residential units and 2 levels of below grade parking.  BLOCK 11.  Tentative address - 38 Cameron St.,Vacant,Condo,241,0,"49,717,000",502,21414
04 128275 BLD,Apartment Building,"33 SHEPPARD AVE E Toronto, Ontario, Canada",Toronto,Canada,2004-04-27,2009-05-13,2018-03-16,Closed,"New 33 storey apartment building with 16 townhouses (phase II).

",,,342,0,"49,524,000",0,30683.9
11 293926 BLD,Apartment Building,"68 CANTERBURY PL   Toronto, Ontario, Canada",Toronto,Canada,2011-10-17,2013-01-21,2016-04-19,Closed,"18 storey apartment building with 209 suites, two levels of underground parking garages linked to 20 units of three storey townhouses
",Sfd,Apartment Building,209,0,"48,200,000",575.41,16627.45
11 236661 BLD,Apartment Building,"72 ESTHER SHINER BLVD   Toronto, Ontario, Canada",Toronto,Canada,2011-07-12,2013-10-25,2016-08-29,Closed,"1001-1009 SHEPPARD AVE E, CONCORD ADEX PARK PLACE, BLOCK 17
7 storey and 21 storey attached apartment building containing 257 dwelling units, with ground floor retail and 4 levels of underground parking",Vacant,Apartment Building/Ground Floor Retail,258,0,"47,060,000",0,22973
10 224245 BLD,Apartment Building,"695 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2010-07-20,2013-06-18,2014-06-26,Closed,8 storey residential building containing 188 dwelling units and 2 levels of underground parking,Vacant,Apartment Building,188,0,"46,000,000",0,22025.4
11 268111 BLD,Apartment Building,"620 AVENUE RD   Toronto, Ontario, Canada",Toronto,Canada,2011-09-02,,2014-05-15,Cancelled,Proposed 19 storey residential building with 122 dwelling units (44 rental units on floors 2-4 and 78 condo units on floors 5-19) and three levels of below grade parking.  Property includes 215 and 217 Lonsdale Road.,Vacant,Apartment And Condo,122,0,"40,000,000",0,12579
03 105848 BLD,Apartment Building,"0 TRANSIT RD   Toronto, Ontario, Canada",Toronto,Canada,2003-02-03,2004-07-28,2015-02-19,Closed,"PHASE 2 - 37 STOREY HIGH RISE RESIDENTIAL CONDOMINIUM, PART PERMIT - FOUNDATION - 02-184379 AND SUPERSTRUCTURE - 02-184382 AND SHORING - 02 - 185421, SITE SERVICES - 02-185428",,,349,0,"40,000,000",0,0
12 296413 BLD,Apartment Building,"160 VANDERHOOF AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-12-20,2016-06-08,2018-01-23,Closed,"18 storey residential building containing two storey townhouses with 10 units and residential dwelling units above consisting of 308 units, ground floor recreational area and six levels of underground parking - Scenic III (ARH) Developments Ltd ",Vacant,Residential Apartment Building,318,0,"40,000,000",812,25446
13 116043 BLD,Apartment Building,"1030 MCNICOLL AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-02-05,2014-01-27,2015-08-20,Closed,"Senior's apartment building, no assisted living",Vacant,Apartment Building,177,0,"39,620,000",1352,16866.4
02 184348 BLD,Apartment Building,"0 TRANSIT RD   Toronto, Ontario, Canada",Toronto,Canada,2002-10-28,2004-04-28,2014-11-06,Closed,"37 STOREY HIGH RISE RESIDENTIAL CONDOMINIUM, PART PERMIT - FOUNDATION - 02-184379 AND SUPERSTRUCTURE - 02-184382 AND SHORING - 02 - 185421, SITE SERVICES - 02-185428 - THE EQUINOX",,,340,0,"38,000,000",0,28437.8
13 108330 BLD,Apartment Building,"80 ESTHER LORRIE DR   Toronto, Ontario, Canada",Toronto,Canada,2013-01-18,2014-09-26,2016-05-02,Closed,"Construct new (12) storey residential condo with (260) units, (1) dwelling room and (3) levels of underground parking.",Vacant Land,Construct New Residential Building,261,0,"37,765,500",0,17467.5
12 296723 BLD,Apartment Building,"299 ROEHAMPTON AVE   Toronto, Ontario, Canada",Toronto,Canada,2012-12-20,2014-04-15,2016-02-18,Closed,"Demo existing 2 storey townhouse development consisting of 7 rental units on North East portion of existing 'lot' which consists of # 299 Roehampton Ave.(Area B) and # 322 Eglinton Ave. East (Area A) to remain;  and construct new 16 storey apartment building with 221 Dwelling Units (Area C), 1 Storey Recreation Centre (Area D) for the exclusive use of Residents of the 'lot', and new vehicular ramp enclosure (Area E). One vehicular ramp to the underground garage will also be demolished
Parking to be within the existing 2 levels of the underground garage which is shared by all three towers.
Existing vehicular access from Roehampton Ave. and Rawlinson Ave will remain from these streets but will be relocated. New surface drive aisles are proposed.
See also 12 296716 DEM, 12 244374 STE, 12 149734 ZPR, 12 149122 MV and Final and Binding A0248/12TEY.",Vacant,Residential Condo,221,0,"37,000,000",1136.85,20417.57
10 135484 BLD,Apartment Building,"525 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2010-03-19,2011-11-08,2014-01-15,Closed,Phase 2 of mixed - use building - 238 residential units with at - grade and underground parking.,Ind Building To Be Dome,12 Storey Condo,248,0,"36,800,000",0,21506
06 189797 BLD,Apartment Building,"77 DUNFIELD AVE   Toronto, Ontario, Canada",Toronto,Canada,2006-11-07,2007-12-20,2017-07-28,Closed,New seventeen storey retirement home containing 179 units with two levels of below-grade parking.,Vacant Land,17 Storey Apartment Building,180,0,"36,000,000",0,14288.39
10 134819 BLD,Apartment Building,"35 BRIAN PECK CRES   Toronto, Ontario, Canada",Toronto,Canada,2010-03-18,2013-02-25,2015-01-05,Closed,16 storey east tower with 220 units linked together with two storey amenity lobby and five levels of underground parking garage,Vacant,Residential,218,0,"35,000,000",459.86,21325.38
14 257413 BLD,Apartment Building,"2800 KEELE ST   Toronto, Ontario, Canada",Toronto,Canada,2014-11-27,2016-04-28,2018-05-08,Closed,11 Storey Residential Condominium With 3 Levels of U/G Garage. 2800 Keelle Residences Inc.,Post Office,11 Storey Residential Condominium With 3 Levels Of U/G Garage,216,0,"34,200,000",392,17994
12 140392 BLD,Apartment Building,"840 QUEENS PLATE DR   Toronto, Ontario, Canada",Toronto,Canada,2012-03-21,2016-08-24,2018-09-10,Closed,Proposal to construct a new (17) storey condominium building with (170) dwelling units and (4) levels of underground parking.,Vacant Land,Condo Building With Underground Garage,170,0,"33,670,000",0,14789
14 179367 BLD,Apartment Building,"282 ST CLAIR AVE W Toronto, Ontario, Canada",Toronto,Canada,2014-06-24,2015-08-10,2018-07-31,Closed,"Proposal to construct a new 9 sty condo with 116 residential units and 2 levels of below grade parking.  The Code Condo's.  6 Parkwood Ave.
RE:Alternative solution for standpipe system in connection to BLD 14 179367.",Vacant,Condo,116,0,"31,000,000",0,11221
15 143662 BLD,Apartment Building,"1900 BAYVIEW AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-04-20,2016-12-08,2018-11-28,Closed,Construct an eight (8) storey residential condo tower,Vacant,Apartment,81,0,"31,000,000",55,15600
10 142571 BLD,Apartment Building,"105 GEORGE ST   Toronto, Ontario, Canada",Toronto,Canada,2010-03-30,2015-08-07,2016-10-28,Closed,Proposal revised to construct a 22-storey residential condominium building containing 294 dwelling units  including a landscaped courtyard connected to the retained and restored heritage buildings at 252-258 Adelaide Street East. The below grade garage will contain 155 parking spaces [DBG],Vacant,Residential Condominium,295,0,"30,000,000",0,24905.3
12 124662 BLD,Apartment Building,"102 SHUTER ST   Toronto, Ontario, Canada",Toronto,Canada,2012-02-17,2015-06-08,2017-08-11,Closed,Permit to construct new 14 storey residential condominium building with 50  units.  The base of the building includes three 2-storey townhouses fronting on Shuter Street.  There are 42 parking spaces proposed within a three level underground garage accessed from an existing public lane.  A valet will take cars to the underground garage via a car elevator. - Please see 10 249540 STE 27 SA for Site Plan Approval application - and note site plan indicates 48 units where building permit indicates 50 units.,Vacant,New Building,50,0,"30,000,000",102,6736
10 112603 BLD,Apartment Building,"1 DE BOERS DR   Toronto, Ontario, Canada",Toronto,Canada,2010-02-02,2010-10-15,2014-02-28,Closed,"Building M4 - 16 storey (228 units) residential & commercial building with 3 level U/G parking

No Green Roof Required. lj",Vacant,New Apairmant Building,228,0,"28,000,000",0,19080.77
10 140148 BLD,Apartment Building,"26 NORTON AVE   Toronto, Ontario, Canada",Toronto,Canada,2010-03-26,2011-04-15,2014-01-30,Closed,"20 storey, 187 units condomonium high-rise with ground floor retail space and underground parking garage.",Vacant,Mixed Use Commercial/Residential,187,0,"26,900,000",0,16940.89
12 233929 BLD,Apartment Building,"2150 LAWRENCE AVE E Toronto, Ontario, Canada",Toronto,Canada,2012-08-22,2014-09-22,2016-07-08,Closed,construct a 19 storey condominium with 227 units,Vacant Land,Condonminium,227,0,"26,000,000",907,18716
10 319224 BLD,Apartment Building,"2756 OLD LESLIE ST   Toronto, Ontario, Canada",Toronto,Canada,2010-12-23,2013-04-23,2014-04-04,Closed,"11 storey residential apartment building containing 182 dwelling units, 264 sqm of ground floor retail and 2 levels of underground parking",Vacant,Apartment Building,182,0,"25,000,000",400,15555
10 131477 BLD,Apartment Building,"5101 DUNDAS ST W Toronto, Ontario, Canada",Toronto,Canada,2010-03-12,2012-08-16,2015-01-07,Closed,Construct new 13 storey mixed use condo tower (134 residential units) and 3 retail units at grade level.  3 levels of underground parking,Vacant Lot,Mixed Use Condo And Underground Parking,134,0,"25,000,000",0,14880
11 294699 BLD,Apartment Building,"132 BERKELEY ST   Toronto, Ontario, Canada",Toronto,Canada,2011-10-18,2013-01-22,2017-03-08,Closed,Proposal to construct new 10 storey residential dwelling with 177 residential units and two below grade parking levels.,Vacant,Apartment Building - 10 Storeys,177,0,"25,000,000",0,10744.04
12 174758 BLD,Apartment Building,"4180 DUNDAS ST W Toronto, Ontario, Canada",Toronto,Canada,2012-05-16,2014-01-15,2015-01-26,Closed,To construct an 8-storey seniors apartment building with a total of 139 dwelling units,Vacant ,Seniors Apartment Building,139,0,"23,704,957",0,11574.73
11 330642 BLD,Apartment Building,"475 FRONT ST E Toronto, Ontario, Canada",Toronto,Canada,2011-12-23,2014-03-11,2017-05-18,Closed,Proposal to construct a 10 sty residential building with 1 level of below grade parking.  108 units. Affordable Housing.  PAN-AM.  BLOCKS 2 & 3.,Vacant,Affordable Housing,108,0,"23,000,000",0,9573
14 259292 BLD,Apartment Building,"380 SHUTER ST   Toronto, Ontario, Canada",Toronto,Canada,2014-12-02,,2017-10-06,Cancelled,"New proposal for 14 freehold new townhouses and 4 freehold semi-detached homes. Private laneways to be Common Element Condominium. This is revised proposal. GK
Original proposal was for four storey building with 44 units and 7 townhouses",Vacant,4 Storey Apartment Building W/ 7 Townhouses,18,0,"20,000,000",0,4538.56
17 264095 BLD,Apartment Building,"3655 KINGSTON RD   Toronto, Ontario, Canada",Toronto,Canada,2017-11-17,,2018-01-05,Cancelled,Construction of a new 8 storey condominium building with 2.5 levels of underground parking,Car Wash,Condominiums,99,0,"19,000,000",305.44,8095.83
04 194014 BLD,Apartment Building,"15 STAFFORD ST   Toronto, Ontario, Canada",Toronto,Canada,2004-11-22,2005-12-14,2015-07-26,Closed,Construct new 142 suite 10 storey condominium building.,,,,,"18,200,000",0,12280.52
04 195606 BLD,Apartment Building,"88 GRANGEWAY AVE   Toronto, Ontario, Canada",Toronto,Canada,2004-11-26,2005-12-15,2015-02-11,Closed,"work description: new 26 storey condominium
existing use: vacant
propsed use: condominium",,,222,0,"18,000,000",15572.12,0
13 133072 BLD,Apartment Building,"106 PARKWAY FOREST DR   Toronto, Ontario, Canada",Toronto,Canada,2013-03-14,2013-07-19,2015-10-13,Closed,6 storey apartment building with one level of underground parking containing 81 dwelling units - Building E2,Vacant,Apartment Building,81,0,"18,000,000",0,8584.3
04 202944 BLD,Apartment Building,"4159 DUNDAS ST W Toronto, Ontario, Canada",Toronto,Canada,2004-12-22,2006-07-12,2018-02-28,Closed,"New six storey 130 units Condominium Apartment building with 3 levels of underground parking.
NOTE:  Revised drawings submitted to increase the number of units to 130 as per an O.M.B. decision to permit the 10 additional units.",,,,,"17,000,000",0,12564.5
12 109234 BLD,Apartment Building,"3563 LAKE SHORE BLVD W Toronto, Ontario, Canada",Toronto,Canada,2012-01-20,2013-09-17,2015-01-22,Closed,Proposed construction of a new (7) storey mixed-use building containing (72) residential units and commercial uses on the first floor.,Vacant,Apartment Building,72,0,"15,000,000",0,7379.5
11 277044 B01,Townhouses,"2130 BAYVIEW AVE   Toronto, Ontario, Canada",Toronto,Canada,2011-09-19,2012-03-26,2014-10-29,Closed,"Four storey townhouse dwelling above a two level parking garage, also includes a waste storage building -  Building A, Unit A01, End - Type 1",Vacant,Townhouse,1,0,"14,375,000",0,138.3
14 152917 BLD,Apartment Building,"3560 ST CLAIR AVE E Toronto, Ontario, Canada",Toronto,Canada,2014-05-07,2015-06-01,2017-02-24,Closed,"New residential four storey condominium building with a total gross floor area of 7,961 ",Apartment Building ,Apartment Building    ,96,0,"13,714,600",0,8695.4
15 219396 BLD,Apartment Building,"646 KINGSTON RD   Toronto, Ontario, Canada",Toronto,Canada,2015-09-08,2017-06-30,2018-06-14,Closed,Proposal to construct a 7 storey Residential Condominum with 58 residential units and 2 levels of below grade parking.,Vaccant,Residential Condo,58,0,"12,000,000",0,7423.66
11 222968 BLD,Apartment Building,"43502 EVA RD   Toronto, Ontario, Canada",Toronto,Canada,2011-06-20,2013-01-24,2014-09-10,Closed,"To construct new 27 storey Condominium Apartment Building (276 units) Building 'A', with an Underground  Parking Garage. (PHASE 1)",Office Building To Be Demolished,New Condominium Apartment Building,276,0,"10,000,000",0,22917.97
09 190196 BLD,Apartment Building,"200 MADISON AVE   Toronto, Ontario, Canada",Toronto,Canada,2009-11-20,,2015-03-05,Cancelled,"Proposal to construct a new 82 dwelling unit (affordable housing) in 2 linked apartment buildings of 5 and 6 stories with a shared central courtyard & 9 parking spaces.
See also 09 154464 DEM, 07 286009 PRZ, and 07 279481 STE.",Vacant Land,Apartment Building,82,0,"10,000,000",0,5264
12 234895 BLD,SFD - Detached,"87 THE BRIDLE PATH   Toronto, Ontario, Canada",Toronto,Canada,2012-08-23,2012-11-08,2015-10-28,Closed,Two storey dwelling with attached garage at grade (Part 3 house),Sfd,Sfd,1,0,"10,000,000",0,1343
15 178203 BLD,SFD - Detached,"86 GOULDING AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-06-22,2015-07-13,2017-06-16,Closed,Construct a new 3-storey single family detached dwelling with garage at grade,Sfd - Detached,Sfd - Detached,1,0,"9,000,000",0,500
04 122861 BLD,Apartment Building,"433 RONCESVALLES AVE   Toronto, Ontario, Canada",Toronto,Canada,2004-04-06,2005-12-23,2018-05-10,Closed,"Build apartment bld. (7 storey), 95 UNITS
Revision to 89 units",,,89,0,"9,000,000",0,11372.99921
14 142537 BLD,Apartment Building,"2992 SHEPPARD AVE E Toronto, Ontario, Canada",Toronto,Canada,2014-04-14,,2015-03-30,Cancelled,"construct new 14 storey condo with 158 residential units, underground parking,  and retail",Vacant,Condo,158,0,"8,000,000",0,10528
06 199563 BLD,Apartment Building,"25 RITCHIE AVE   Toronto, Ontario, Canada",Toronto,Canada,2006-12-22,2008-12-02,2017-09-29,Closed,"Proposal to construct a new 5 sty condo with 37 live-work units and 1 level of below grade parking.  See C.O.A. and OMB A0353/06TEY.
BIN 2183",Light Industrial,Condo (37 Live-Work Units),37,0,"7,500,000",0,4243.4
04 202491 BLD,Apartment Building,"169 JOHN ST   Toronto, Ontario, Canada",Toronto,Canada,2004-12-21,2005-12-06,2016-07-25,Closed,"Build new 11 storey 45 unit condominium with 24 stack parking spaces.
HOLD for Section 37 Agreement and Conditions in the Undertaking agreement. - jc",,,,,"7,000,000",0,3902.1
13 266923 BLD,SFD - Detached,"60 STRATHEARN RD   Toronto, Ontario, Canada",Toronto,Canada,2013-11-19,2014-04-08,2015-11-06,Closed,To construct a new two-storey single family detached dwelling with a rear deck and front porch. ,Vacant,New Two-Storey Sfd,1,0,"6,500,000",0,426.33
13 208458 BLD,SFD - Detached,"12 WYCLIFFE CRES   Toronto, Ontario, Canada",Toronto,Canada,2013-07-22,2014-03-10,2015-10-08,Closed,Two storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"6,400,000",0,394.8
16 193829 BLD,SFD - Detached,"62 BURR AVE   Toronto, Ontario, Canada",Toronto,Canada,2016-07-20,,2016-08-15,Cancelled,Demolish exisiting dwelling and construct new 2 storey dwelling,Single Family Dwelling,Single Family Dwelling,1,0,"6,000,000",0,307.4
15 250551 BLD,SFD - Detached,"199 SHAVER AVE N Toronto, Ontario, Canada",Toronto,Canada,2015-11-12,2015-12-09,2018-12-17,Closed,Proposal to construct new 2 storey single family detached dwelling with integral garage.,Sfd-Detached,Sfd-Detached,1,0,"5,400,000",0,331.31
10 146520 BLD,SFD - Detached,"71 THE BRIDLE PATH   Toronto, Ontario, Canada",Toronto,Canada,2010-04-07,2010-05-28,2015-12-02,Closed,Two storey dwelling,Sfd,Sfd,1,0,"5,000,000",0,2100.35
10 216122 BLD,Apartment Building,"458 OAKWOOD AVE   Toronto, Ontario, Canada",Toronto,Canada,2010-07-09,2012-01-26,2016-11-16,Closed,3 storey walk-up apartment with a live-work studio at grade and five residential units.,Sfd,Apartment Building,6,0,"5,000,000",0,661
14 251989 BLD,SFD - Detached,"27 SHAVER AVE N Toronto, Ontario, Canada",Toronto,Canada,2014-11-14,2015-02-18,2016-11-07,Closed,Construct new (2) storey detached dwelling,Sfd,Sfd,1,0,"5,000,000",0,315.1
14 267679 BLD,Apartment Building,"1340 KINGSTON RD   Toronto, Ontario, Canada",Toronto,Canada,2014-12-24,2017-05-11,2018-11-01,Closed,"construct a six storey condominimum with 16 residential suites, a commercial unit on the ground floor, and an underground parking garage",Vacant,Condo Building,16,0,"5,000,000",0,2344.2
13 251969 BLD,SFD - Detached,"11 THORNWOOD RD   Toronto, Ontario, Canada",Toronto,Canada,2013-10-17,2014-02-10,2018-04-06,Closed,Proposal to demolish existing three storey detached house and construct new 2 storey SFD with integral garage and basement finishing.,Sfd,New Sfd,1,0,"4,500,000",0,620
14 257093 BLD,SFD - Detached,"21 PARK LANE CRCL   Toronto, Ontario, Canada",Toronto,Canada,2014-11-26,2014-12-18,2015-09-21,Cancelled,Proposed construction of a new two storey single family detached dwelling (1319.1m2) with integral at grade garage and finished basement area (585.78m2) with construction of new pool house in rear yard (224.5m2),Sfd - Detached,Sfd - Detached,1,0,"4,000,000",0,1543.55
13 131108 BLD,SFD - Detached,"70 NORTHDALE RD   Toronto, Ontario, Canada",Toronto,Canada,2013-03-11,2013-07-12,2017-02-28,Closed,Two storey single family dwelling with attached garage,624.24,Sfd,1,0,"4,000,000",0,624.24
14 110519 BLD,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2014-01-29,2015-12-30,2018-11-06,Closed,parcel 149-BLOCK 2: Proposal to construct 3 storey stacked townhouse block with 40 dwelling units.,Vacant,Stacked Townhouse Block,40,0,"3,899,000",0,3713
14 110522 BLD,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2014-01-29,2015-12-30,2018-12-10,Closed,parcel 149-BLOCK 3: Proposal to construct 3 storey stacked townhouse block with 40 dwelling units.,Vacant,Stacked Townhouse Block,40,0,"3,896,200",0,3713
15 212622 BLD,SFD - Detached,"24 YORKVIEW DR   Toronto, Ontario, Canada",Toronto,Canada,2015-08-25,2015-09-11,2017-02-08,Closed,Proposal to construct a new 2 storey SFD-detached dwelling.  See also 15 212621 DEM.,Vacant,Sfd-Detached,1,0,"3,832,000",0,372.45
08 220527 BLD,SFD - Detached,"5 HIGH POINT RD   Toronto, Ontario, Canada",Toronto,Canada,2008-11-10,2009-01-23,2015-10-01,Cancelled,Three storey dwelling with attached garage on the east side and a basm't garage.  No accessory structures under this permit..,Sfd,Sfd,1,0,"3,750,000",0,2875.42
09 139459 BLD,Townhouses,"43667 RICHGROVE DR   Toronto, Ontario, Canada",Toronto,Canada,2009-05-19,2010-08-27,2018-10-16,Closed,"To construct  40 unit Stacked  Townhouse (Block ""C"") on vacant land.",Vacant,Stacked Townhouse,40,0,"3,750,000",0,4113.3
12 272066 BLD,Townhouses,"120 TWENTY FOURTH ST   Toronto, Ontario, Canada",Toronto,Canada,2012-11-01,2013-04-22,2014-07-29,Closed,Proposal to construct 32 units stacked townhouse block with 3 storey above and 1 storey below grade (Block 5).,Vacant,Stacked Townhouse Block,32,0,"3,700,000",0,3333.94
09 117748 BLD,Apartment Building,"194 DOWLING AVE   Toronto, Ontario, Canada",Toronto,Canada,2009-03-17,2009-08-26,2015-10-19,Closed,"Interior alterations,  reconstruct  1 exterior wall & construct a 4th floor addtion for 29 dwelling units for affordable housing   See PPR 08 109048 & COA - A0680/08TEY.   see also exmption from fees dated October 2, 2007  ",Vacant,Alternative Housing (29 Units),0,0,"3,700,000",0,1400
14 110516 BLD,Townhouses,"2277-2295 SHEPPARD AVE W Toronto, Ontario, Canada",Toronto,Canada,2014-01-29,2015-12-30,2018-02-27,Closed,parcel 149-BLOCK 1: Proposal to construct 3 storey stacked townhouse block with 36 dwelling units.,Vacant,Stacked Townhouse Block,36,0,"3,514,000",0,3152
11 280118 BLD,SFD - Detached,"35 GREEN VALLEY RD   Toronto, Ontario, Canada",Toronto,Canada,2011-09-22,2011-11-22,2015-10-08,Closed,Two storey single family dwelling with attached garage,Sfd,Sfd,1,0,"3,500,000",0,593.6
