PERMIT_NUM,STRUCTURE_TYPE,ADDRESS,City,Country,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,RESIDENTIAL
13 130369 BLD,SFD - Detached,"90 STAVELY CRES   Toronto, Ontario, Canada",Toronto,Canada,2013-03-08,2013-07-12,2017-03-10,Closed,Proposal to construct new 2 storey detached sfd,Vacant,Sfd-Detached,1,0,"300,000",0,229.51
13 163977 BLD,SFD - Detached,"49 MCDONALD AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-05-07,2013-10-15,2017-10-18,Closed,"construct new house
",Vacant,House,1,0,"300,000",0,376
14 149574 BLD,SFD - Detached,"84 ELLINS AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-04-30,2014-08-13,2017-05-26,Closed,"Proposal to demolish existing dwelling down to foundation and constructing new two storey SFD, Detached.",Sfd Detached,Sfd Detached,1,0,"300,000",0,156.64
14 187668 BLD,SFD - Detached,"79 LAUREL AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-07-09,2014-09-26,2017-06-01,Closed,construct new 2 storey dwelling,Vacant,New House,1,0,"300,000",0,221.9
14 189697 BLD,SFD - Detached,"232 PRINCESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-07-14,2015-06-17,2017-03-27,Closed,Two storey detached single family dwelling with integral garage and finished basement - Part 1,Vacant Land,Two Storey Detached Sfd,1,0,"300,000",0,300
14 189717 BLD,SFD - Detached,"230 PRINCESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-07-14,2015-06-17,2017-03-27,Closed,Two storey detached single family dwelling with integral garage and finished basement - Part 2,Vacant Land,Two Storey Detached Sfd,1,0,"300,000",0,300
14 194067 BLD,SFD - Detached,"93 GALLOWAY RD   Toronto, Ontario, Canada",Toronto,Canada,2014-07-21,2015-04-28,2017-06-30,Closed,Construct new 2 storey detached house with attached garage on a vacant lot - PARTS 3 & 6,Vacant,New House,1,0,"300,000",0,170
14 194071 BLD,SFD - Detached,"93 GALLOWAY RD   Toronto, Ontario, Canada",Toronto,Canada,2014-07-21,2015-04-28,2017-06-30,Closed,"Construct new 2 storey detached house with attached garage on a vacant lot - PARTS 1, 2 & 5",Vacant,New House,1,0,"300,000",0,170
14 210053 BLD,SFD - Detached,"65 BRULE GDNS   Toronto, Ontario, Canada",Toronto,Canada,2014-08-21,2014-09-10,2017-01-27,Closed,Proposal to construct new two storey dwelling.,Residential,Residential,1,0,"300,000",0,320.99
14 217450 BLD,SFD - Detached,"97 DORSET RD   Toronto, Ontario, Canada",Toronto,Canada,2014-09-05,2015-04-23,2017-08-22,Closed,construct new house,House,New House,1,0,"300,000",0,276.77
14 251476 BLD,SFD - Detached,"16 BOWSPRIT AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-11-13,2015-11-06,2017-09-25,Closed, Construct new Detached Dwelling ,Sfd,Sfd,1,0,"300,000",0,190
14 268789 BLD,SFD - Detached,"4 ST MARKS RD   Toronto, Ontario, Canada",Toronto,Canada,2014-12-31,2015-02-19,2017-01-17,Closed,Proposal to construct new two storey single family detached dwelling.,Vacant,Sfd-Detached,1,0,"300,000",0,234.67
15 129997 BLD,SFD - Detached,"21 HAREWOOD AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-03-20,2015-04-14,2017-01-16,Closed,"Permit to construct a new 246.56m2, 2-storey detached single family dwelling complete with integral garage, rear deck and basement walkout.  Existing 1-1/2 single family detached dwelling to be demolished.",Sfd,Sfd,1,0,"300,000",0,246.56
15 137484 BLD,SFD - Semi-Detached,"73 LABURNHAM AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-04-08,2015-11-06,2017-04-11,Closed,Proposal to construct new semi-detached dwelling with integral garage (Part 1)-replacement for existing dwelling.,Vacant,Sfd-Semi Detached,1,0,"300,000",0,183.94
15 137487 BLD,SFD - Semi-Detached,"73 LABURNHAM AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-04-08,2015-11-06,2017-04-11,Closed,Proposal to construct new semi-detached dwelling with integral garage (Part 2)-new dwelling on conveyed lot.,Vacant,Sfd-Semi Detached,1,0,"300,000",0,183.94
15 140694 BLD,SFD - Detached,"23 NINTH ST   Toronto, Ontario, Canada",Toronto,Canada,2015-04-14,2015-05-14,2017-03-15,Closed,"Proposed 2-storey detached dwelling with integral garage, front porch, finished basement and new deck.",Vacant,Sfd-Detached,1,0,"300,000",0,243
15 140783 BLD,SFD - Detached,"1026 ROYAL YORK RD   Toronto, Ontario, Canada",Toronto,Canada,2015-04-14,2015-04-29,2017-03-17,Closed,Two storey dwelling with attached garage and finished basement,Sfd,Sfd,1,0,"300,000",0,316.07
15 167063 BLD,SFD - Detached,"15 BRUSSELS ST   Toronto, Ontario, Canada",Toronto,Canada,2015-06-02,2015-10-19,2017-02-15,Closed,Construct a new 2-storey single-detached house,Vacant Lot,Single-Family Detached House,1,0,"300,000",0,187.6
15 182988 BLD,SFD - Detached,"33 CRESTON RD   Toronto, Ontario, Canada",Toronto,Canada,2015-06-30,2015-07-22,2017-04-10,Closed,Proposal for a two storey single family dwelling with integral garage and finished basement,Sfd-Detached,Sfd-Detached,1,0,"300,000",0,320.98
15 209560 BLD,SFD - Detached,"98 FOCH AVE   Toronto, Ontario, Canada",Toronto,Canada,2015-08-19,2015-10-09,2017-05-23,Closed,Proposal to construct 2 storey dwelling with integral garage. (PART 1),Vacant,Sfd-Detached,1,0,"300,000",0,177.07
